Problem Number,Link
Problem 1A,https://codeforces.com/problemset/problem/231/A
Problem 2A,https://codeforces.com/problemset/problem/228/A
Problem 3A,https://codeforces.com/problemset/problem/236/A
Problem 4A,https://codeforces.com/problemset/problem/233/A
Problem 5A,https://codeforces.com/problemset/problem/214/A
Problem 6A,https://codeforces.com/problemset/problem/202/A
Problem 7A,https://codeforces.com/problemset/problem/181/A
Problem 8A,https://codeforces.com/problemset/problem/177/A1
Problem 9A,https://codeforces.com/problemset/problem/177/A2
Problem 10A,https://codeforces.com/problemset/problem/158/A
Problem 11A,https://codeforces.com/problemset/problem/155/A
Problem 12A,https://codeforces.com/problemset/problem/1399/A
Problem 13A,https://codeforces.com/problemset/problem/151/A
Problem 14A,https://codeforces.com/problemset/problem/148/A
Problem 15A,https://codeforces.com/problemset/problem/146/A
Problem 16A,https://codeforces.com/problemset/problem/144/A
Problem 17A,https://codeforces.com/problemset/problem/141/A
Problem 18A,https://codeforces.com/problemset/problem/136/A
Problem 19A,https://codeforces.com/problemset/problem/119/A
Problem 20A,https://codeforces.com/problemset/problem/116/A
Problem 21A,https://codeforces.com/problemset/problem/112/A
Problem 22A,https://codeforces.com/problemset/problem/110/A
Problem 23A,https://codeforces.com/problemset/problem/104/A
Problem 24A,https://codeforces.com/problemset/problem/92/A
Problem 25A,https://codeforces.com/problemset/problem/80/A
Problem 26A,https://codeforces.com/problemset/problem/71/A
Problem 27A,https://codeforces.com/problemset/problem/61/A
Problem 28A,https://codeforces.com/problemset/problem/59/A
Problem 29A,https://codeforces.com/problemset/problem/50/A
Problem 30A,https://codeforces.com/problemset/problem/49/A
Problem 31A,https://codeforces.com/problemset/problem/47/A
Problem 32A,https://codeforces.com/problemset/problem/41/A
Problem 33A,https://codeforces.com/problemset/problem/38/A
Problem 34A,https://codeforces.com/problemset/problem/34/A
Problem 35A,https://codeforces.com/problemset/problem/32/B
Problem 36A,https://codeforces.com/problemset/problem/32/A
Problem 37A,https://codeforces.com/problemset/problem/9/A
Problem 38A,https://codeforces.com/problemset/problem/4/A
Problem 39A,https://codeforces.com/problemset/problem/764/A
Problem 40A,https://codeforces.com/problemset/problem/758/A
Problem 41A,https://codeforces.com/problemset/problem/755/A
Problem 42A,https://codeforces.com/problemset/problem/750/A
Problem 43A,https://codeforces.com/problemset/problem/749/A
Problem 44A,https://codeforces.com/problemset/problem/746/A
Problem 45A,https://codeforces.com/problemset/problem/735/A
Problem 46A,https://codeforces.com/problemset/problem/734/A
Problem 47A,https://codeforces.com/problemset/problem/732/A
Problem 48A,https://codeforces.com/problemset/problem/731/A
Problem 49A,https://codeforces.com/problemset/problem/723/A
Problem 50A,https://codeforces.com/problemset/problem/721/A
Problem 51A,https://codeforces.com/problemset/problem/716/A
Problem 52A,https://codeforces.com/problemset/problem/711/A
Problem 53A,https://codeforces.com/problemset/problem/707/A
Problem 54A,https://codeforces.com/problemset/problem/705/A
Problem 55A,https://codeforces.com/problemset/problem/703/A
Problem 56A,https://codeforces.com/problemset/problem/702/A
Problem 57A,https://codeforces.com/problemset/problem/701/A
Problem 58A,https://codeforces.com/problemset/problem/688/A
Problem 59A,https://codeforces.com/problemset/problem/686/A
Problem 60A,https://codeforces.com/problemset/problem/681/A
Problem 61A,https://codeforces.com/problemset/problem/677/A
Problem 62A,https://codeforces.com/problemset/problem/672/A
Problem 63A,https://codeforces.com/problemset/problem/669/A
Problem 64A,https://codeforces.com/problemset/problem/658/A
Problem 65A,https://codeforces.com/problemset/problem/630/A
Problem 66A,https://codeforces.com/problemset/problem/629/A
Problem 67A,https://codeforces.com/problemset/problem/617/A
Problem 68A,https://codeforces.com/problemset/problem/615/A
Problem 69A,https://codeforces.com/problemset/problem/599/A
Problem 70A,https://codeforces.com/problemset/problem/595/A
Problem 71A,https://codeforces.com/problemset/problem/581/A
Problem 72A,https://codeforces.com/problemset/problem/546/A
Problem 73A,https://codeforces.com/problemset/problem/520/A
Problem 74A,https://codeforces.com/problemset/problem/510/A
Problem 75A,https://codeforces.com/problemset/problem/509/A
Problem 76A,https://codeforces.com/problemset/problem/443/A
Problem 77A,https://codeforces.com/problemset/problem/432/A
Problem 78A,https://codeforces.com/problemset/problem/431/A
Problem 79A,https://codeforces.com/problemset/problem/427/A
Problem 80A,https://codeforces.com/problemset/problem/381/A
Problem 81A,https://codeforces.com/problemset/problem/263/A
Problem 82A,https://codeforces.com/problemset/problem/266/A
Problem 83A,https://codeforces.com/problemset/problem/282/A
Problem 84A,https://codeforces.com/problemset/problem/281/A
Problem 85A,https://codeforces.com/problemset/problem/339/A
Problem 86A,https://codeforces.com/problemset/problem/1131/A
Problem 87A,https://codeforces.com/problemset/problem/1081/A
Problem 88A,https://codeforces.com/problemset/problem/900/A
Problem 89A,https://codeforces.com/problemset/problem/791/A
Problem 90A,https://codeforces.com/problemset/problem/785/A
Problem 91A,https://codeforces.com/problemset/problem/832/A
Problem 92A,https://codeforces.com/problemset/problem/894/A
Problem 93A,https://codeforces.com/problemset/problem/908/A
Problem 94A,https://codeforces.com/problemset/problem/1400/A
Problem 95A,https://codeforces.com/problemset/problem/1385/B
Problem 96A,https://codeforces.com/problemset/problem/1369/A
Problem 97A,https://codeforces.com/problemset/problem/1343/B
Problem 98A,https://codeforces.com/problemset/problem/1154/A
Problem 99A,https://codeforces.com/problemset/problem/1146/A
Problem 100A,https://codeforces.com/problemset/problem/1176/A
Problem 1B,https://codeforces.com/problemset/problem/200/B
Problem 2B,https://codeforces.com/problemset/problem/734/B
Problem 3B,https://codeforces.com/problemset/problem/1399/B
Problem 4B,https://codeforces.com/problemset/problem/1398/B
Problem 5B,https://codeforces.com/problemset/problem/1391/B
Problem 6B,https://codeforces.com/problemset/problem/1360/B
Problem 7B,https://codeforces.com/problemset/problem/1367/B
Problem 8B,https://codeforces.com/problemset/problem/1325/B
Problem 9B,https://codeforces.com/problemset/problem/1374/B
Problem 10B,https://codeforces.com/problemset/problem/1373/B
Problem 11B,https://codeforces.com/problemset/problem/1351/B
Problem 12B,https://codeforces.com/problemset/problem/1337/B
Problem 13B,https://codeforces.com/problemset/problem/1335/B
Problem 14B,https://codeforces.com/problemset/problem/1326/B
Problem 15B,https://codeforces.com/problemset/problem/1296/B
Problem 16B,https://codeforces.com/problemset/problem/1283/B
Problem 17B,https://codeforces.com/problemset/problem/1248/B
Problem 18B,https://codeforces.com/problemset/problem/1216/B
Problem 19B,https://codeforces.com/problemset/problem/1206/B
Problem 20B,https://codeforces.com/problemset/problem/1183/B
Problem 21B,https://codeforces.com/problemset/problem/1150/B
Problem 22B,https://codeforces.com/problemset/problem/1144/B
Problem 23B,https://codeforces.com/problemset/problem/1141/B
Problem 24B,https://codeforces.com/problemset/problem/1095/B
Problem 25B,https://codeforces.com/problemset/problem/1093/B
Problem 26B,https://codeforces.com/problemset/problem/1080/B
Problem 27B,https://codeforces.com/problemset/problem/1047/B
Problem 28B,https://codeforces.com/problemset/problem/1005/B
Problem 29B,https://codeforces.com/problemset/problem/999/B
Problem 30B,https://codeforces.com/problemset/problem/991/B
Problem 31B,https://codeforces.com/problemset/problem/935/B
Problem 32B,https://codeforces.com/problemset/problem/801/B
Problem 33B,https://codeforces.com/problemset/problem/746/B
Problem 34B,https://codeforces.com/problemset/problem/34/B
Problem 35B,https://codeforces.com/problemset/problem/16/B
Problem 36B,https://codeforces.com/problemset/problem/1388/B
Problem 37B,https://codeforces.com/problemset/problem/1359/B
Problem 38B,https://codeforces.com/problemset/problem/1358/B
Problem 39B,https://codeforces.com/problemset/problem/1312/B
Problem 40B,https://codeforces.com/problemset/problem/1300/B
Problem 41B,https://codeforces.com/problemset/problem/1293/B
Problem 42B,https://codeforces.com/problemset/problem/1266/B
Problem 43B,https://codeforces.com/problemset/problem/1257/B
Problem 44B,https://codeforces.com/problemset/problem/1244/B
Problem 45B,https://codeforces.com/problemset/problem/1230/B
Problem 46B,https://codeforces.com/problemset/problem/1223/B
Problem 47B,https://codeforces.com/problemset/problem/1199/B
Problem 48B,https://codeforces.com/problemset/problem/1197/B
Problem 49B,https://codeforces.com/problemset/problem/1165/B
Problem 50B,https://codeforces.com/problemset/problem/1139/B
Problem 51B,https://codeforces.com/problemset/problem/1136/B
Problem 52B,https://codeforces.com/problemset/problem/1117/B
Problem 53B,https://codeforces.com/problemset/problem/1107/B
Problem 54B,https://codeforces.com/problemset/problem/1088/B
Problem 55B,https://codeforces.com/problemset/problem/1077/B
Problem 56B,https://codeforces.com/problemset/problem/1073/B
Problem 57B,https://codeforces.com/problemset/problem/1054/B
Problem 58B,https://codeforces.com/problemset/problem/1051/B
Problem 59B,https://codeforces.com/problemset/problem/1008/B
Problem 60B,https://codeforces.com/problemset/problem/981/B
Problem 61B,https://codeforces.com/problemset/problem/893/B
Problem 62B,https://codeforces.com/problemset/problem/888/B
Problem 63B,https://codeforces.com/problemset/problem/859/B
Problem 64B,https://codeforces.com/problemset/problem/822/B
Problem 65B,https://codeforces.com/problemset/problem/805/B
Problem 66B,https://codeforces.com/problemset/problem/766/B
Problem 67B,https://codeforces.com/problemset/problem/732/B
Problem 68B,https://codeforces.com/problemset/problem/688/B
Problem 69B,https://codeforces.com/problemset/problem/680/B
Problem 70B,https://codeforces.com/problemset/problem/672/B
Problem 71B,https://codeforces.com/problemset/problem/670/B
Problem 72B,https://codeforces.com/problemset/problem/652/B
Problem 73B,https://codeforces.com/problemset/problem/620/B
Problem 74B,https://codeforces.com/problemset/problem/616/B
Problem 75B,https://codeforces.com/problemset/problem/499/B
Problem 76B,https://codeforces.com/problemset/problem/465/B
Problem 77B,https://codeforces.com/problemset/problem/339/B
Problem 78B,https://codeforces.com/problemset/problem/284/B
Problem 79B,https://codeforces.com/problemset/problem/268/B
Problem 80B,https://codeforces.com/problemset/problem/177/B1
Problem 81B,https://codeforces.com/problemset/problem/157/B
Problem 82B,https://codeforces.com/problemset/problem/137/B
Problem 83B,https://codeforces.com/problemset/problem/125/B
Problem 84B,https://codeforces.com/problemset/problem/127/B
Problem 85B,https://codeforces.com/problemset/problem/122/B
Problem 86B,https://codeforces.com/problemset/problem/106/B
Problem 87B,https://codeforces.com/problemset/problem/160/B
Problem 88B,https://codeforces.com/problemset/problem/158/B
Problem 89B,https://codeforces.com/problemset/problem/155/B
Problem 90B,https://codeforces.com/problemset/problem/136/B
Problem 91B,https://codeforces.com/problemset/problem/120/B
Problem 92B,https://codeforces.com/problemset/problem/6/B
Problem 93B,https://codeforces.com/problemset/problem/1370/B
Problem 94B,https://codeforces.com/problemset/problem/1345/B
Problem 95B,https://codeforces.com/problemset/problem/1334/B
Problem 96B,https://codeforces.com/problemset/problem/1333/B
Problem 97B,https://codeforces.com/problemset/problem/1213/B
Problem 98B,https://codeforces.com/problemset/problem/1146/B
Problem 99B,https://codeforces.com/problemset/problem/1099/B
Problem 100B,https://codeforces.com/problemset/problem/362/B
Problem 1C,https://codeforces.com/problemset/problem/1374/C
Problem 2C,https://codeforces.com/problemset/problem/1353/C
Problem 3C,https://codeforces.com/problemset/problem/1144/C
Problem 4C,https://codeforces.com/problemset/problem/630/C
Problem 5C,https://codeforces.com/problemset/problem/1360/C
Problem 6C,https://codeforces.com/problemset/problem/1335/C
Problem 7C,https://codeforces.com/problemset/problem/1324/C
Problem 8C,https://codeforces.com/problemset/problem/1231/C
Problem 9C,https://codeforces.com/problemset/problem/1015/C
Problem 10C,https://codeforces.com/problemset/problem/1399/C
Problem 11C,https://codeforces.com/problemset/problem/1392/C
Problem 12C,https://codeforces.com/problemset/problem/1385/C
Problem 13C,https://codeforces.com/problemset/problem/1352/C
Problem 14C,https://codeforces.com/problemset/problem/1343/C
Problem 15C,https://codeforces.com/problemset/problem/1328/C
Problem 16C,https://codeforces.com/problemset/problem/1315/C
Problem 17C,https://codeforces.com/problemset/problem/1272/C
Problem 18C,https://codeforces.com/problemset/problem/1257/C
Problem 19C,https://codeforces.com/problemset/problem/1221/C
Problem 20C,https://codeforces.com/problemset/problem/1214/C
Problem 21C,https://codeforces.com/problemset/problem/1213/C
Problem 22C,https://codeforces.com/problemset/problem/1133/C
Problem 23C,https://codeforces.com/problemset/problem/1131/C
Problem 24C,https://codeforces.com/problemset/problem/1102/C
Problem 25C,https://codeforces.com/problemset/problem/1100/C
Problem 26C,https://codeforces.com/problemset/problem/1099/C
Problem 27C,https://codeforces.com/problemset/problem/1023/C
Problem 28C,https://codeforces.com/problemset/problem/1006/C
Problem 29C,https://codeforces.com/problemset/problem/919/C
Problem 30C,https://codeforces.com/problemset/problem/899/C
Problem 31C,https://codeforces.com/problemset/problem/747/C
Problem 32C,https://codeforces.com/problemset/problem/670/C
Problem 33C,https://codeforces.com/problemset/problem/625/C
Problem 34C,https://codeforces.com/problemset/problem/519/C
Problem 35C,https://codeforces.com/problemset/problem/1401/C
Problem 36C,https://codeforces.com/problemset/problem/1367/C
Problem 37C,https://codeforces.com/problemset/problem/1326/C
Problem 38C,https://codeforces.com/problemset/problem/1311/C
Problem 39C,https://codeforces.com/problemset/problem/1271/C
Problem 40C,https://codeforces.com/problemset/problem/1194/C
Problem 41C,https://codeforces.com/problemset/problem/1380/C
Problem 42C,https://codeforces.com/problemset/problem/1375/C
Problem 43C,https://codeforces.com/problemset/problem/1370/C
Problem 44C,https://codeforces.com/problemset/problem/1312/C
Problem 45C,https://codeforces.com/problemset/problem/1270/C
Problem 46C,https://codeforces.com/problemset/problem/1400/C
Problem 47C,https://codeforces.com/problemset/problem/1391/C
Problem 48C,https://codeforces.com/problemset/problem/1389/C
Problem 49C,https://codeforces.com/problemset/problem/1372/C
Problem 50C,https://codeforces.com/problemset/problem/1366/C